TTD,TCAR,RACP,pass_at,SCS,commitment_final,T,config,dataset
49,0.9166666666666666,0.0,1.0,0.8405744677228619,0.7360483704051342,120,TASDF,GOAD-sample
51,0.8809523809523809,0.0,1.0,0.8341424843601069,0.7165013574103904,84,TASDF,GOAD-sample
44,0.8904109589041096,0.0,1.0,0.8373945323315969,0.7131203888363158,73,TASDF,GOAD-sample
39,0.896551724137931,0.0,1.0,0.8371826760078146,0.7131557392929415,87,TASDF,GOAD-sample
42,0.8803418803418803,1.0,1.0,0.8337939875478537,0.7458931178798094,117,TASDF,GOAD-sample
39,0.9295774647887324,0.0,1.0,0.835264797315189,0.6960031657979202,71,TASDF,GOAD-sample
48,0.898876404494382,0.0,1.0,0.8424229930024009,0.7446387389579459,89,TASDF,GOAD-sample
48,0.9285714285714286,0.0,1.0,0.8378418529244183,0.6975126283562074,70,TASDF,GOAD-sample
49,0.9375,0.0,1.0,0.8336070706060044,0.68617571368378,64,TASDF,GOAD-sample
44,0.8620689655172413,0.0,1.0,0.829117813151823,0.718416552907253,87,TASDF,GOAD-sample
42,0.8785046728971962,0.0,1.0,0.8315279534906683,0.7430637118024279,107,TASDF,GOAD-sample
48,0.8666666666666667,0.0,1.0,0.8374217736990346,0.7084502576366141,75,TASDF,GOAD-sample
46,0.8627450980392157,1.0,1.0,0.8306035389656355,0.7277953306642103,102,TASDF,GOAD-sample
112,0.9099099099099099,1.0,1.0,0.8259999655990654,0.0,111,Static multi-layer honeynet,openworlds-ad-trajectories
86,0.9294117647058824,1.0,1.0,0.8920000671990652,0.0,85,Static multi-layer honeynet,openworlds-ad-trajectories
107,0.9245283018867925,1.0,1.0,0.8920000671990652,0.0,106,Static multi-layer honeynet,openworlds-ad-trajectories
104,0.9223300970873787,1.0,1.0,0.8599999999990654,0.0,103,Static multi-layer honeynet,openworlds-ad-trajectories
62,0.9344262295081968,1.0,1.0,0.8700000151990653,0.0,61,Static multi-layer honeynet,openworlds-ad-trajectories
62,0.9180327868852459,1.0,1.0,0.9100001191990651,0.0,61,Static multi-layer honeynet,openworlds-ad-trajectories
60,0.8983050847457628,1.0,1.0,0.9100001191990651,0.0,59,Static multi-layer honeynet,openworlds-ad-trajectories
107,0.8584905660377359,1.0,1.0,0.8780000519990653,0.0,106,Static multi-layer honeynet,openworlds-ad-trajectories
58,0.8947368421052632,1.0,1.0,0.8780000519990653,0.0,57,Static multi-layer honeynet,openworlds-ad-trajectories
100,0.8888888888888888,1.0,1.0,0.8379999479990655,0.0,99,Static multi-layer honeynet,openworlds-ad-trajectories
104,0.9320388349514563,0.0,1.0,0.8659998615990657,0.0,103,Static multi-layer honeynet,openworlds-ad-trajectories
78,0.8701298701298701,1.0,1.0,0.8599999999990654,0.0,77,Static multi-layer honeynet,openworlds-ad-trajectories
57,0.9107142857142857,1.0,1.0,0.8780000519990653,0.0,56,Static multi-layer honeynet,openworlds-ad-trajectories
83,0.8658536585365854,1.0,1.0,0.8780000519990653,0.0,82,Static multi-layer honeynet,openworlds-ad-trajectories
60,0.8813559322033898,1.0,1.0,0.8659998615990657,0.0,59,Static multi-layer honeynet,openworlds-ad-trajectories
93,0.8586956521739131,1.0,1.0,0.8599999999990654,0.0,92,Static multi-layer honeynet,openworlds-ad-trajectories
59,0.8793103448275862,1.0,1.0,0.9100001191990651,0.0,58,Static multi-layer honeynet,openworlds-ad-trajectories
59,0.8448275862068966,1.0,1.0,0.8580002055990648,0.0,58,Static multi-layer honeynet,openworlds-ad-trajectories
67,0.9393939393939394,1.0,1.0,0.8840001711990649,0.0,66,Static multi-layer honeynet,openworlds-ad-trajectories
93,0.9347826086956522,1.0,1.0,0.8780000519990653,0.0,92,Static multi-layer honeynet,openworlds-ad-trajectories
98,0.8969072164948454,1.0,1.0,0.8259999655990654,0.0,97,Static multi-layer honeynet,Nemesis-Cyber-Pack
82,0.9012345679012346,1.0,1.0,0.8920000671990652,0.0,81,Static multi-layer honeynet,Nemesis-Cyber-Pack
59,0.9655172413793104,1.0,0.6666666666666666,0.8920000671990652,0.0,58,Static multi-layer honeynet,Nemesis-Cyber-Pack
117,0.8793103448275862,1.0,1.0,0.8599999999990654,0.0,116,Static multi-layer honeynet,Nemesis-Cyber-Pack
68,0.8805970149253731,1.0,1.0,0.8700000151990653,0.0,67,Static multi-layer honeynet,Nemesis-Cyber-Pack
112,0.9459459459459459,1.0,1.0,0.9100001191990651,0.0,111,Static multi-layer honeynet,Nemesis-Cyber-Pack
61,0.95,1.0,1.0,0.9100001191990651,0.0,60,Static multi-layer honeynet,Nemesis-Cyber-Pack
81,0.9,1.0,1.0,0.8780000519990653,0.0,80,Static multi-layer honeynet,Nemesis-Cyber-Pack
121,0.9416666666666667,0.0,1.0,0.8780000519990653,0.0,120,Static multi-layer honeynet,Nemesis-Cyber-Pack
68,0.8955223880597015,1.0,1.0,0.8379999479990655,0.0,67,Static multi-layer honeynet,Nemesis-Cyber-Pack
78,0.961038961038961,1.0,1.0,0.8659998615990657,0.0,77,Static multi-layer honeynet,Nemesis-Cyber-Pack
88,0.8620689655172413,1.0,1.0,0.8599999999990654,0.0,87,Static multi-layer honeynet,Nemesis-Cyber-Pack
57,0.9285714285714286,1.0,1.0,0.8780000519990653,0.0,56,Static multi-layer honeynet,Nemesis-Cyber-Pack
98,0.8865979381443299,1.0,1.0,0.8780000519990653,0.0,97,Static multi-layer honeynet,Nemesis-Cyber-Pack
67,0.9090909090909091,0.0,1.0,0.8659998615990657,0.0,66,Static multi-layer honeynet,Nemesis-Cyber-Pack
121,0.9583333333333334,1.0,1.0,0.8599999999990654,0.0,120,Static multi-layer honeynet,Nemesis-Cyber-Pack
102,0.9306930693069307,1.0,1.0,0.9100001191990651,0.0,101,Static multi-layer honeynet,Nemesis-Cyber-Pack
106,0.8761904761904762,1.0,1.0,0.8580002055990648,0.0,105,Static multi-layer honeynet,Nemesis-Cyber-Pack
102,0.8910891089108911,1.0,1.0,0.8840001711990649,0.0,101,Static multi-layer honeynet,Nemesis-Cyber-Pack
75,0.9459459459459459,1.0,1.0,0.8780000519990653,0.0,74,Static multi-layer honeynet,Nemesis-Cyber-Pack
66,0.9076923076923077,1.0,1.0,0.8259999655990654,0.0,65,Static multi-layer honeynet,LANL-auth-flows
121,0.8666666666666667,1.0,1.0,0.8920000671990652,0.0,120,Static multi-layer honeynet,LANL-auth-flows
84,0.8554216867469879,1.0,1.0,0.8920000671990652,0.0,83,Static multi-layer honeynet,LANL-auth-flows
112,0.8738738738738738,1.0,1.0,0.8599999999990654,0.0,111,Static multi-layer honeynet,LANL-auth-flows
70,0.8840579710144928,1.0,1.0,0.8700000151990653,0.0,69,Static multi-layer honeynet,LANL-auth-flows
108,0.8878504672897196,1.0,1.0,0.9100001191990651,0.0,107,Static multi-layer honeynet,LANL-auth-flows
104,0.883495145631068,1.0,1.0,0.9100001191990651,0.0,103,Static multi-layer honeynet,LANL-auth-flows
58,0.9298245614035088,1.0,1.0,0.8780000519990653,0.0,57,Static multi-layer honeynet,LANL-auth-flows
108,0.8598130841121495,1.0,1.0,0.8780000519990653,0.0,107,Static multi-layer honeynet,LANL-auth-flows
93,0.9021739130434783,1.0,1.0,0.8379999479990655,0.0,92,Static multi-layer honeynet,LANL-auth-flows
76,0.8933333333333333,1.0,1.0,0.8659998615990657,0.0,75,Static multi-layer honeynet,LANL-auth-flows
62,0.819672131147541,1.0,1.0,0.8599999999990654,0.0,61,Static multi-layer honeynet,LANL-auth-flows
75,0.9324324324324325,1.0,1.0,0.8780000519990653,0.0,74,Static multi-layer honeynet,LANL-auth-flows
117,0.896551724137931,1.0,1.0,0.8780000519990653,0.0,116,Static multi-layer honeynet,LANL-auth-flows
112,0.8918918918918919,1.0,1.0,0.8659998615990657,0.0,111,Static multi-layer honeynet,LANL-auth-flows
121,0.875,1.0,1.0,0.8599999999990654,0.0,120,Static multi-layer honeynet,LANL-auth-flows
99,0.9285714285714286,1.0,1.0,0.9100001191990651,0.0,98,Static multi-layer honeynet,LANL-auth-flows
88,0.8620689655172413,1.0,1.0,0.8580002055990648,0.0,87,Static multi-layer honeynet,LANL-auth-flows
65,0.859375,1.0,1.0,0.8840001711990649,0.0,64,Static multi-layer honeynet,LANL-auth-flows
73,0.9027777777777778,1.0,1.0,0.8780000519990653,0.0,72,Static multi-layer honeynet,LANL-auth-flows
103,0.9215686274509803,1.0,1.0,0.8259999655990654,0.0,102,Static multi-layer honeynet,GOAD-sample
62,0.8032786885245902,1.0,1.0,0.8920000671990652,0.0,61,Static multi-layer honeynet,GOAD-sample
93,0.9021739130434783,1.0,1.0,0.8920000671990652,0.0,92,Static multi-layer honeynet,GOAD-sample
66,0.8769230769230769,0.0,1.0,0.8599999999990654,0.0,65,Static multi-layer honeynet,GOAD-sample
77,0.881578947368421,1.0,1.0,0.8700000151990653,0.0,76,Static multi-layer honeynet,GOAD-sample
79,0.9230769230769231,1.0,1.0,0.9100001191990651,0.0,78,Static multi-layer honeynet,GOAD-sample
68,0.9104477611940298,0.0,1.0,0.9100001191990651,0.0,67,Static multi-layer honeynet,GOAD-sample
121,0.9166666666666666,0.0,1.0,0.8780000519990653,0.0,120,Static multi-layer honeynet,GOAD-sample
85,0.9166666666666666,0.0,1.0,0.8780000519990653,0.0,84,Static multi-layer honeynet,GOAD-sample
74,0.863013698630137,0.0,1.0,0.8379999479990655,0.0,73,Static multi-layer honeynet,GOAD-sample
88,0.9195402298850575,0.0,1.0,0.8659998615990657,0.0,87,Static multi-layer honeynet,GOAD-sample
118,0.9230769230769231,1.0,1.0,0.8599999999990654,0.0,117,Static multi-layer honeynet,GOAD-sample
72,0.9154929577464789,0.0,1.0,0.8780000519990653,0.0,71,Static multi-layer honeynet,GOAD-sample
90,0.9325842696629213,0.0,1.0,0.8780000519990653,0.0,89,Static multi-layer honeynet,GOAD-sample
71,0.9285714285714286,0.0,1.0,0.8659998615990657,0.0,70,Static multi-layer honeynet,GOAD-sample
65,0.875,0.0,1.0,0.8599999999990654,0.0,64,Static multi-layer honeynet,GOAD-sample
88,0.9425287356321839,0.0,1.0,0.9100001191990651,0.0,87,Static multi-layer honeynet,GOAD-sample
108,0.9439252336448598,0.0,1.0,0.8580002055990648,0.0,107,Static multi-layer honeynet,GOAD-sample
76,0.88,0.0,1.0,0.8840001711990649,0.0,75,Static multi-layer honeynet,GOAD-sample
103,0.9019607843137255,1.0,1.0,0.8780000519990653,0.0,102,Static multi-layer honeynet,GOAD-sample
38,0.8558558558558559,1.0,1.0,0.9100001191990651,0.0,111,Reactive stage-aware,openworlds-ad-trajectories
29,0.8117647058823529,1.0,1.0,0.8659998615990657,0.0,85,Reactive stage-aware,openworlds-ad-trajectories
36,0.8490566037735849,1.0,1.0,0.8599999999990654,0.0,106,Reactive stage-aware,openworlds-ad-trajectories
35,0.8252427184466019,1.0,1.0,0.8599999999990654,0.0,103,Reactive stage-aware,openworlds-ad-trajectories
21,0.7704918032786885,1.0,1.0,0.8599999999990654,0.0,61,Reactive stage-aware,openworlds-ad-trajectories
21,0.8852459016393442,1.0,1.0,0.8599999999990654,0.0,61,Reactive stage-aware,openworlds-ad-trajectories
20,0.9322033898305084,1.0,1.0,0.9100001191990651,0.0,59,Reactive stage-aware,openworlds-ad-trajectories
36,0.8867924528301887,1.0,1.0,0.7860000343990653,0.0,106,Reactive stage-aware,openworlds-ad-trajectories
20,0.7719298245614035,1.0,1.0,0.8979999287990655,0.0,57,Reactive stage-aware,openworlds-ad-trajectories
34,0.8282828282828283,1.0,1.0,0.8379999479990655,0.0,99,Reactive stage-aware,openworlds-ad-trajectories
35,0.8640776699029126,0.0,1.0,0.9100001191990651,0.0,103,Reactive stage-aware,openworlds-ad-trajectories
26,0.8701298701298701,1.0,1.0,0.8599999999990654,0.0,77,Reactive stage-aware,openworlds-ad-trajectories
19,0.8571428571428571,1.0,1.0,0.8780000519990653,0.0,56,Reactive stage-aware,openworlds-ad-trajectories
28,0.7439024390243902,1.0,1.0,0.9100001191990651,0.0,82,Reactive stage-aware,openworlds-ad-trajectories
20,0.7627118644067796,1.0,1.0,0.8599999999990654,0.0,59,Reactive stage-aware,openworlds-ad-trajectories
31,0.8043478260869565,1.0,1.0,0.8599999999990654,0.0,92,Reactive stage-aware,openworlds-ad-trajectories
20,0.8620689655172413,1.0,1.0,0.8920000671990652,0.0,58,Reactive stage-aware,openworlds-ad-trajectories
20,0.8275862068965517,1.0,1.0,0.8780000519990653,0.0,58,Reactive stage-aware,openworlds-ad-trajectories
23,0.8787878787878788,1.0,1.0,0.8780000519990653,0.0,66,Reactive stage-aware,openworlds-ad-trajectories
31,0.8586956521739131,1.0,1.0,0.8479999135990656,0.0,92,Reactive stage-aware,openworlds-ad-trajectories
33,0.8556701030927835,1.0,1.0,0.9100001191990651,0.0,97,Reactive stage-aware,Nemesis-Cyber-Pack
28,0.8518518518518519,1.0,1.0,0.8659998615990657,0.0,81,Reactive stage-aware,Nemesis-Cyber-Pack
20,0.896551724137931,1.0,1.0,0.8599999999990654,0.0,58,Reactive stage-aware,Nemesis-Cyber-Pack
39,0.8275862068965517,1.0,1.0,0.8599999999990654,0.0,116,Reactive stage-aware,Nemesis-Cyber-Pack
23,0.8059701492537313,1.0,1.0,0.8599999999990654,0.0,67,Reactive stage-aware,Nemesis-Cyber-Pack
38,0.8918918918918919,1.0,1.0,0.8599999999990654,0.0,111,Reactive stage-aware,Nemesis-Cyber-Pack
21,0.85,1.0,1.0,0.9100001191990651,0.0,60,Reactive stage-aware,Nemesis-Cyber-Pack
27,0.7875,1.0,1.0,0.7860000343990653,0.0,80,Reactive stage-aware,Nemesis-Cyber-Pack
41,0.8833333333333333,0.0,1.0,0.8979999287990655,0.0,120,Reactive stage-aware,Nemesis-Cyber-Pack
23,0.8059701492537313,1.0,1.0,0.8379999479990655,0.0,67,Reactive stage-aware,Nemesis-Cyber-Pack
